left_out_color,avg_error,avg_error_std,below6_rate,sample_number,label,gt__R,gt__G,gt__B,gt_rgb
1,4.987464059178752,2.0802170465543957,0.75,1,Dark Skin,115,82,69,"(0.45098039215686275, 0.3215686274509804, 0.27058823529411763)"
2,6.012883644468441,1.9397246520542344,0.5,2,Light Skin,204,161,141,"(0.8, 0.6313725490196078, 0.5529411764705883)"
3,5.512895577015866,2.7079378410193033,0.6,3,Blue Sky,101,134,179,"(0.396078431372549, 0.5254901960784314, 0.7019607843137254)"
4,10.619577573494576,3.9903353464853133,0.2,4,Foliage,89,109,61,"(0.34901960784313724, 0.42745098039215684, 0.23921568627450981)"
5,15.232851528616584,2.4076523248237254,0.0,5,Blue Flower,141,137,194,"(0.5529411764705883, 0.5372549019607843, 0.7607843137254902)"
6,9.867678912790439,1.875204568331603,0.0,6,Bluish Green,132,228,208,"(0.5176470588235295, 0.8941176470588236, 0.8156862745098039)"
7,13.649825453370289,5.4162332713970365,0.0,7,Orange,249,118,35,"(0.9764705882352941, 0.4627450980392157, 0.13725490196078433)"
8,6.27573010678472,1.7820170044841483,0.45,8,Purplish Blue,80,91,182,"(0.3137254901960784, 0.3568627450980392, 0.7137254901960784)"
9,13.402823199744901,2.5517705190200184,0.0,9,Moderate Red,222,91,125,"(0.8705882352941177, 0.3568627450980392, 0.49019607843137253)"
10,10.197708005010085,3.369009968798613,0.1,10,Purple,91,63,123,"(0.3568627450980392, 0.24705882352941178, 0.4823529411764706)"
11,17.864387147368298,2.793049870905251,0.0,11,Yellow Green,173,232,91,"(0.6784313725490196, 0.9098039215686274, 0.3568627450980392)"
12,6.958171977548571,3.3391321736581934,0.6,12,Orange Yellow,255,164,26,"(1.0, 0.6431372549019608, 0.10196078431372549)"
13,9.628734533812178,4.824757698258139,0.35,13,Blue,44,56,142,"(0.17254901960784313, 0.2196078431372549, 0.5568627450980392)"
14,14.504664983536562,5.477275873701781,0.0,14,Green,74,148,81,"(0.2901960784313726, 0.5803921568627451, 0.3176470588235294)"
15,11.118681209860126,5.186134126736039,0.25,15,Red,179,42,50,"(0.7019607843137254, 0.16470588235294117, 0.19607843137254902)"
16,8.93643635834764,3.1990052106559723,0.15,16,Yellow,250,226,21,"(0.9803921568627451, 0.8862745098039215, 0.08235294117647059)"
17,13.20851490813726,2.9226999399860683,0.0,17,Magenta,191,81,160,"(0.7490196078431373, 0.3176470588235294, 0.6274509803921569)"
18,15.228587559795358,2.037554639024942,0.0,18,Cyan,6,142,172,"(0.023529411764705882, 0.5568627450980392, 0.6745098039215687)"
19,4.1982922756577405,1.2904097300899249,0.9,19,White,252,252,252,"(0.9882352941176471, 0.9882352941176471, 0.9882352941176471)"
20,4.300398045905153,1.3178829920756168,0.95,20,Neutral 8,230,230,230,"(0.9019607843137255, 0.9019607843137255, 0.9019607843137255)"
21,6.353111653753665,1.204034521539979,0.4,21,Neutral 6.5,200,200,200,"(0.7843137254901961, 0.7843137254901961, 0.7843137254901961)"
22,8.356486008189814,1.2616623656813817,0.0,22,Neutral 5,143,143,142,"(0.5607843137254902, 0.5607843137254902, 0.5568627450980392)"
23,8.905965419475978,2.889463224699434,0.1,23,Neutral 3.5,100,100,100,"(0.39215686274509803, 0.39215686274509803, 0.39215686274509803)"
24,7.803080211977942,4.379397406826613,0.4,24,Black,50,50,50,"(0.19607843137254902, 0.19607843137254902, 0.19607843137254902)"
