parameter,mean,ci_025,ci_975
Beta_0,3.8550126980545714,1.9322735958448087,5.786981297155032
Beta_1,1.599477945526244,-0.22385887286269232,2.992742693367829
Beta_2,0.3245080950816666,-1.8678039970914737,2.767626585949604
Beta_3,0.09366468009996033,0.06620608616708341,0.1136260238140246
Beta_4,-0.19600743957422087,-0.22454174942404273,-0.17177880276440372
Beta_5,1.3989668902321588,1.367687773802994,1.4265470119608181
Beta_6,-0.123072965597791,-0.1521993581699227,-0.08862336065372597
Beta_7,1.3233617103362283,1.2934060509479672,1.3565716606509441
Beta_8,-0.08088500726281483,-0.13489929460006608,-0.028955236443248586
Beta_9,1.2595725512637137,1.2102832653944526,1.3001239884594233
Beta_10,0.027974281043666612,0.0008130835506460059,0.05465590730082572
Beta_11,-0.08750219591678626,-0.13301464328051385,-0.037417598766598364
Beta_12,-0.13790744081846215,-0.17833065651081811,-0.10297434010731596
Beta_13,0.01744486959196602,-0.019807112187911303,0.05382389507826517
Beta_14,0.121009666604691,0.06172732374955196,0.1885141690850687
Beta_15,-0.03717673532341988,-0.07157169338193337,0.0003292387703672534
Beta_16,-0.011388038406237852,-0.046703140142716267,0.019321805858180805
Beta_17,0.004404561806969285,-0.028151546094203103,0.03966720148296039
