parameter,mean,ci_025,ci_975
Beta_0,83.3683195305199,69.87817039881007,98.32543088892221
Beta_1,-20.569187334193828,-35.66965317764536,-6.300553510898497
Beta_2,0.18738263437239586,-18.22820066289446,18.537268161619856
Beta_3,0.2895093945283255,0.013601829067270142,0.5459374904335034
Beta_4,0.004798705561032167,-0.27723581810726017,0.2886499186567614
Beta_5,-0.8778692338860516,-1.3164479859061737,-0.4422887245069316
Beta_6,1.7830088204388668,0.9700780445488537,2.6155516145691915
Beta_7,-2.3658467051279284,-3.1449125694484734,-1.624170793389634
Beta_8,0.8594445883242037,-0.08790224559679286,1.8668428268930313
Beta_9,-1.0348721279047188,-1.230334870396103,-0.8562997441970671
Beta_10,0.29489593464359287,0.10731400953282291,0.48207687751776596
Beta_11,-0.025167149898864934,-0.26066899126101495,0.21801974594929957
Beta_12,0.11048919337961859,0.08403929538423442,0.1372659821249463
Beta_13,-0.21183595017727366,-0.23734595785505747,-0.18701127011479132
Beta_14,1.3999942289982172,1.368081109586176,1.431724840832281
Beta_15,-0.14112847020944233,-0.17734830922283926,-0.10745599957552196
Beta_16,1.320389218057329,1.286334247443326,1.356724023647096
Beta_17,-0.08141329526227016,-0.12917677418418924,-0.03465660511305853
Beta_18,1.2427956622712795,1.2058245222454522,1.2804465656686534
Beta_19,0.03667523184119353,0.003850544189079396,0.06851015418690225
Beta_20,-0.09074124879638505,-0.13515055168393325,-0.04533507614211301
