,k,iteration,mses
0,1,1,20.339878060666784
1,1,2,84.23346221669887
2,1,3,235.91179031031325
3,1,4,235.0747144017257
4,1,5,55.91463887394153
5,1,6,95.64698001553887
6,1,7,20.339878060666784
7,1,8,22.25448132995711
8,1,9,95.64698001553887
9,1,10,118.74235581213986
10,1,11,217.6675418656966
11,1,12,40.08380603186393
12,1,13,55.91463887394153
13,1,14,46.09141032150677
14,1,15,22.25448132995711
15,1,16,46.09141032150677
16,1,17,133.79642987184337
17,1,18,37.67342942897083
18,1,19,235.0747144017257
19,1,20,186.42994240942517
20,2,1,112.77340956568666
21,2,2,36.50377652741609
22,2,3,115.25932188809847
23,2,4,79.43432889350339
24,2,5,101.04470926251068
25,2,6,165.34186816709266
26,2,7,92.61320515031551
27,2,8,70.73675712292331
28,2,9,96.65840604032934
29,2,10,141.7339033956845
30,2,11,179.90110923452593
31,2,12,209.96185561413046
32,2,13,115.66081872723096
33,2,14,102.71918601015619
34,2,15,100.39283230638381
35,2,16,110.89899113868574
36,2,17,42.207267437822395
37,2,18,101.04470926251068
38,2,19,72.16479124095937
39,2,20,139.64129200167216
40,3,1,121.67049908327765
41,3,2,83.78255102922003
42,3,3,192.59796050509644
43,3,4,109.31681454154344
44,3,5,147.85271836695983
45,3,6,136.55408358839523
46,3,7,87.66979001782278
47,3,8,111.89977327483086
48,3,9,140.99126084708664
49,3,10,127.25788719230455
50,3,11,103.3411247813996
51,3,12,181.55178957482346
52,3,13,108.926560217399
53,3,14,85.58215209423679
54,3,15,133.2885946290174
55,3,16,159.82932816869265
56,3,17,83.01523910435921
57,3,18,105.54890492106064
58,3,19,117.32378589665535
59,3,20,176.62067384805576
60,4,1,161.18199089797122
61,4,2,136.07411316056624
62,4,3,137.38303331906877
63,4,4,82.20987710713494
64,4,5,131.18561386384056
65,4,6,152.9830072992928
66,4,7,143.53023343941007
67,4,8,126.83804906208061
68,4,9,132.76737800923155
69,4,10,87.10627733762881
70,4,11,109.309207092665
71,4,12,89.39224007550219
72,4,13,134.74093195365572
73,4,14,140.54935577649726
74,4,15,139.765378207285
75,4,16,105.01550713133129
76,4,17,128.06031634743846
77,4,18,86.64340634435791
78,4,19,149.61097907333362
79,4,20,162.7071338024324
80,5,1,129.9244006373791
81,5,2,169.38549659701127
82,5,3,168.76557957737674
83,5,4,172.63034363300534
84,5,5,170.42934520786676
85,5,6,142.89765305324372
86,5,7,78.7693679296641
87,5,8,161.80634335652053
88,5,9,164.9105869027833
89,5,10,119.88482374013101
90,5,11,94.20626378064533
91,5,12,83.13902658563256
92,5,13,94.82471112554131
93,5,14,82.16520038953502
94,5,15,176.72360814385817
95,5,16,166.9650128368418
96,5,17,121.274698917895
