session_name,sample_number,capture_index,lighting_condition,reflective_surface,pitch,roll,white_r0_R,white_r0_G,white_r0_B,white_r2_R,white_r2_G,white_r2_B,white_r4_R,white_r4_G,white_r4_B,color_r0_R,color_r0_G,color_r0_B,color_r2_R,color_r2_G,color_r2_B,color_r4_R,color_r4_G,color_r4_B,label,gt__R,gt__G,gt__B,color_r4_l,color_r4_a,color_r4_b,gt__l,gt__a,gt__b,scaling_r4_R,scaling_r4_G,scaling_r4_B,scaling_r4_l,scaling_r4_a,scaling_r4_b,full_r4_l,full_r4_a,full_r4_b,reduced_r4_l,reduced_r4_a,reduced_r4_b
Jonas 1,1,1,daylight,False,6.804742582379562,0.09666217184309217,198,201,208,197,200,207,198,201,208,98,74,64,98,74,64,98,74,64,Dark Skin,115,82,69,33.699774047629504,8.592186690977638,9.90404490825334,38.03876054813183,11.926687710060364,13.080158687298871,126,93,78,42.483448592320954,11.306265653294012,13.882245906781687,40.86131901878951,13.27605424767052,10.978276011125846,40.47588828726097,13.321967136363346,11.288043283967301
Jonas 1,2,3,daylight,False,38.86477906758447,0.9909143526075955,191,199,212,175,183,196,178,186,199,139,114,107,139,114,107,139,114,107,Light Skin,204,161,141,50.199090566257524,8.637290796410845,7.560616083959126,69.64880492592266,13.032038208673768,16.488008901967554,199,156,137,67.81902758361757,13.27256882240324,16.07685656063125,63.86047025845745,15.159137691852994,10.383865413411764,65.12633784029445,14.69579397778594,9.454845622693215
Jonas 1,3,0,daylight,False,2.343048820090046,0.4644086348553315,199,194,198,195,191,193,196,192,194,77,103,128,77,103,128,77,103,128,Blue Sky,101,134,179,42.515250358171116,-2.7503102330897757,-16.952248735421694,55.144513424796244,0.4555750252551727,-27.329431031815133,100,136,168,55.21984483053848,-4.1134357909910495,-20.909916852979404,56.13614900742742,0.07369008663079807,-27.277450234162895,56.48948089831198,-0.09413335785180169,-27.525868409994604
Jonas 1,3,1,daylight,False,13.434845574912314,1.9945024415694717,197,195,200,195,193,198,194,192,197,79,103,129,80,104,130,80,104,130,Blue Sky,101,134,179,43.08860452170518,-1.880504702534369,-17.26333312804662,55.144513424796244,0.4555750252551727,-27.329431031815133,105,138,168,56.09394223388054,-3.85104539550446,-19.546802709507993,55.909206400795334,1.9241812665184752,-26.217568231765085,56.60357942770614,1.6460087661866158,-26.7203715746993
Jonas 1,4,4,daylight,False,34.293942286563066,0.721335279627739,195,202,218,196,203,219,195,202,218,81,95,78,82,96,79,82,96,79,Foliage,89,109,61,39.111642368974245,-9.035280394719042,7.941036177187999,43.356914292431625,-16.465345843969665,24.37442929217979,107,121,92,48.97429729813422,-10.87204827780619,14.221656441784368,48.27528160750432,-8.974334554597043,14.54278849928876,48.67809488787076,-9.230393559491318,14.277873156849802
Jonas 1,5,3,daylight,False,35.59401863285818,0.38855086229772184,193,201,214,192,200,213,192,200,213,116,129,147,116,129,147,116,129,147,Blue Flower,141,137,194,53.513493039315776,-0.6669375164615743,-11.26569380296305,59.38700273765474,14.21476163080726,-29.070970223924462,154,164,175,66.91199174222689,-1.2729022358751174,-6.884806492533646,62.29986282185966,8.041077945222266,-16.227782370440593,62.93320498468697,7.756094595268379,-16.677575223994445
Jonas 1,5,8,daylight,False,5.968086303735068,46.71508316748387,182,190,203,182,190,203,182,190,203,102,117,136,103,118,137,103,118,137,Blue Flower,141,137,194,49.06394383761058,-1.042194932821483,-12.205740209101323,59.38700273765474,14.21476163080726,-29.070970223924462,144,158,172,64.45207596340649,-1.9653231012993766,-8.946029669640797,62.613431074011814,5.838297570336946,-18.444722905175457,61.24751230981192,6.520228632605878,-17.49372236869782
Jonas 1,5,9,daylight,False,5.870795458241875,52.18018789483404,180,192,208,179,191,207,179,191,207,105,121,144,104,121,143,104,121,143,Blue Flower,141,137,194,50.216302875399805,-0.9535876399722754,-13.989514535985181,59.38700273765474,14.21476163080726,-29.070970223924462,148,161,176,65.68598866691265,-1.414458103795535,-9.31435472273876,62.39550379963538,8.250855794385116,-20.588772207024036,60.43131343210835,9.16010601027599,-19.201061594603267
Jonas 1,6,0,daylight,False,1.4708626552409907,-0.38711643485312336,189,192,201,190,192,201,190,192,202,76,146,122,75,146,122,75,146,122,Bluish Green,132,228,208,55.540499635590606,-28.36471428767989,5.8882405839222995,84.45434753499057,-33.061279270574836,0.8881473129619843,100,193,154,71.67704997798727,-36.89925619496076,11.215150711719811,77.51585095857595,-36.70479368502393,8.99170881133554,76.79632160134248,-36.575640743016145,9.557734988485716
Jonas 1,6,2,daylight,False,16.870079015217275,-1.1591285078846405,195,201,217,189,195,211,189,195,211,84,153,135,84,153,135,84,153,135,Bluish Green,132,228,208,58.42903517882657,-26.33016185645609,2.6901139458672008,84.45434753499057,-33.061279270574836,0.8881473129619843,113,200,163,74.48389829424336,-34.83003318673106,10.411592937086645,78.2912046926908,-31.9174021676268,6.862047588398068,77.70685454332873,-31.863808204711674,7.336237092954023
