left_out_color,mse,n_train_samples,n_test_samples,gt_R_mean,gt_G_mean,gt_B_mean,color_r4_R_mean,color_r4_G_mean,color_r4_B_mean,rank
11,345.06782311842494,23,1,173,232,91,112,139,72,1
14,241.91723419300322,23,1,74,148,81,50,109,43,2
18,235.91179031031325,23,1,6,142,172,33,120,147,3
5,235.0747144017257,23,1,141,137,194,106,117,136,4
7,217.6675418656966,23,1,249,118,35,190,89,35,5
9,186.42994240942517,23,1,222,91,125,175,58,70,6
17,179.39628862150016,23,1,191,81,160,116,54,93,7
15,149.42845212863568,23,1,179,42,50,162,30,25,8
4,133.79642987184337,23,1,89,109,61,49,70,40,9
10,118.74235581213986,23,1,91,63,123,81,73,99,10
13,118.71445846768819,23,1,44,56,142,22,32,91,11
6,108.50372575184633,23,1,132,228,208,76,156,132,12
24,95.64698001553887,23,1,50,50,50,70,72,72,13
16,88.78591819603845,23,1,250,226,21,186,157,39,14
23,84.23346221669887,23,1,100,100,100,55,64,67,15
22,73.46177465214186,23,1,143,143,142,90,98,101,16
12,55.91463887394153,23,1,255,164,26,193,120,26,17
8,46.92706209483197,23,1,80,91,182,78,99,156,18
3,46.09141032150677,23,1,101,134,179,70,105,137,19
21,40.08380603186393,23,1,200,200,200,143,152,149,20
2,37.67342942897083,23,1,204,161,141,148,116,103,21
1,27.293740605208583,23,1,115,82,69,98,74,66,22
20,22.25448132995711,23,1,230,230,230,170,173,166,23
19,20.339878060666784,23,1,252,252,252,183,184,176,24
