left_out_color,sample_id,R_measured,G_measured,B_measured,L_corrected,a_corrected,b_corrected,L_ground_truth,a_ground_truth,b_ground_truth,delta_E,is_accurate
1,1,97,73,63,41.29605250499903,13.414690119810347,11.157534856932607,38.038760548131826,11.92668771006039,13.080158687298859,4.064552184040164,False
1,1,98,74,64,41.05271106371201,13.614656736059803,11.062851323093339,38.038760548131826,11.92668771006039,13.080158687298859,4.000333254214865,False
1,1,94,75,68,42.62970477668976,11.953675641344317,8.153641133106285,38.038760548131826,11.92668771006039,13.080158687298859,6.7340977472807735,False
1,1,97,80,73,44.404446108037796,11.534742100857192,9.724158785736597,38.038760548131826,11.92668771006039,13.080158687298859,7.206823804385324,False
1,1,102,84,79,46.09118696716557,11.830844288074358,8.62710800041359,38.038760548131826,11.92668771006039,13.080158687298859,9.202196347365119,False
1,1,100,75,63,42.17375174935849,13.399939960331873,12.917238965308815,38.038760548131826,11.92668771006039,13.080158687298859,4.3926264652216,False
1,1,98,74,64,41.30581024838848,13.198018002100842,11.547381174637975,38.038760548131826,11.92668771006039,13.080158687298859,3.8261339964415324,False
1,1,97,73,63,40.27817045223211,14.053842649190285,10.64669901002744,38.038760548131826,11.92668771006039,13.080158687298859,3.9321076860321447,False
1,1,97,73,63,42.21936806960459,12.49600769154951,11.340512930914464,38.038760548131826,11.92668771006039,13.080158687298859,4.563767286751557,False
1,1,98,74,66,39.33672753226833,14.656635677736112,10.895856586550575,38.038760548131826,11.92668771006039,13.080158687298859,3.7294114636841256,False
1,1,86,58,46,41.16833164633338,15.425597423684996,13.122413526407188,38.038760548131826,11.92668771006039,13.080158687298859,4.69450422453992,False
1,1,89,61,48,40.91620249627216,15.570358052559627,13.67033886318269,38.038760548131826,11.92668771006039,13.080158687298859,4.680204949543602,False
1,1,84,60,48,40.91845067291386,11.957990371804295,13.14318261641162,38.038760548131826,11.92668771006039,13.080158687298859,2.8805497890229654,False
1,1,92,68,56,44.40460473817741,11.954045779304579,12.484579925373499,38.038760548131826,11.92668771006039,13.080158687298859,6.39370274391502,False
1,1,97,77,65,48.33647258047828,9.635274648053647,11.039089712764222,38.038760548131826,11.92668771006039,13.080158687298859,10.745204022291801,False
1,1,83,58,46,38.527159680673726,14.355084720639482,12.376254159750115,38.038760548131826,11.92668771006039,13.080158687298859,2.575097539426569,False
1,1,88,62,49,40.45651265703374,14.606133885382869,13.1204486495747,38.038760548131826,11.92668771006039,13.080158687298859,3.609235424242939,False
1,1,86,62,50,42.37035345306765,11.786298698799294,12.993169870880592,38.038760548131826,11.92668771006039,13.080158687298859,4.334740271660471,False
1,1,84,60,50,41.497723722160245,13.33835967266383,11.574631775635117,38.038760548131826,11.92668771006039,13.080158687298859,4.027884711735077,False
